,Day,Hour,Declination Angle,Elevation Angle,Air Mass Coeff,Sunlight Intensity Post Intake
0,1,0,-23.095402297984272,-79.58903694986137,0.0,0.0
1,1,1,-23.09241112465226,-80.72740339653998,0.0,0.0
2,1,2,-23.08940662442473,-69.48251418615058,0.0,0.0
3,1,3,-23.086388799669347,-56.7055198981235,0.0,0.0
4,1,4,-23.08335765276489,-43.76265234883044,0.0,0.0
5,1,5,-23.08031318610117,-30.91852706363065,0.0,0.0
6,1,6,-23.077255402079043,-18.32511019203207,0.0,0.0
7,1,7,-23.07418430311044,-6.143595318561282,0.0,0.0
8,1,8,-23.071099891618324,5.406570033865023,9.658669294418061,33192.146140655306
9,1,9,-23.06800217003671,15.998729445300967,3.5866432504492867,261465.52881083995
10,1,10,-23.06489114081064,25.138424585574256,2.344007026120921,616638.3273636152
11,1,11,-23.06176680639619,32.11588891930327,1.8763946002517864,964020.5253297979
12,1,12,-23.058629169260467,36.073358613068685,1.6951167711250157,1181902.100941036
13,1,13,-23.055478231881605,36.332660978057355,1.684719319317966,1196571.8217471985
14,1,14,-23.05231399674873,32.84305164671445,1.8395760679063295,1003117.3497170928
15,1,15,-23.04913646636201,26.221063298398207,2.254534525689479,666809.8769078373
16,1,16,-23.045945643232614,17.325813720164902,3.3254628037979637,304703.9044758491
17,1,17,-23.04274152988269,6.895385275198748,7.831789305043594,52158.39153387604
18,1,18,-23.0395241288454,-4.548474982962588,0.0,0.0
19,1,19,-23.036293442664917,-16.660163871797792,0.0,0.0
20,1,20,-23.033049473896348,-29.20873180500311,0.0,0.0
21,1,21,-23.029792225105837,-42.02732580001626,0.0,0.0
22,1,22,-23.02652169887047,-54.965592683197855,0.0,0.0
23,1,23,-23.023237897778326,-67.78728266622363,0.0,0.0
24,2,0,-23.019940824428428,-79.4616111203103,0.0,0.0
25,2,1,-23.016630481430774,-80.72817130169872,0.0,0.0
26,2,2,-23.013306871406314,-69.54231011194835,0.0,0.0
27,2,3,-23.009969996986943,-56.77445984476475,0.0,0.0
28,2,4,-23.00661986081551,-43.831363130902616,0.0,0.0
29,2,5,-23.003256465545793,-30.983202514615527,0.0,0.0
30,2,6,-22.999879813842536,-18.38306741166285,0.0,0.0
31,2,7,-22.996489908381353,-6.192120526874987,0.0,0.0
32,2,8,-22.993086751848832,5.370784652968197,9.712530014766811,32790.245738208156
33,2,9,-22.98967034694246,15.979990095744583,3.590635094586906,260876.91139233203
