,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Day,Hour,Declination Angle,Elevation Angle,Air Mass Coeff,Sunlight Intensity Post Intake,Absorbed Photons,exciton_generation_rate,Final_Exciton_Rate_After_CMC,Excitonic Energy,Usable Electric Energy
0,0,0,0,0,1,0,-23.095402297984272,-79.58903694986137,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,1,1,1,1,1,-23.09241112465226,-80.72740339653998,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2,2,2,2,1,2,-23.08940662442473,-69.48251418615058,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,3,3,3,3,1,3,-23.086388799669347,-56.7055198981235,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,4,4,4,4,1,4,-23.08335765276489,-43.76265234883044,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,5,5,5,5,1,5,-23.08031318610117,-30.91852706363065,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,6,6,6,6,1,6,-23.077255402079043,-18.32511019203207,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,7,7,7,7,1,7,-23.07418430311044,-6.143595318561282,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,8,8,8,8,1,8,-23.071099891618324,5.406570033865023,9.65866929441806,33192.146140655306,5.439214309503804e+23,5.439214309503804e+23,2.194076006514959e+23,527.6472348873324,363.548944837372
9,9,9,9,9,1,9,-23.06800217003671,15.998729445300969,3.5866432504492867,261465.52881083995,4.284649265290991e+24,4.284649265290991e+24,1.728346340919321e+24,4156.45203268167,2863.7954505176704
10,10,10,10,10,1,10,-23.06489114081064,25.138424585574256,2.344007026120921,616638.3273636152,1.0104884449988892e+25,1.0104884449988892e+25,4.076118950045432e+24,9802.54506533507,6753.953550015864
11,11,11,11,11,1,11,-23.06176680639619,32.11588891930327,1.8763946002517864,964020.525329798,1.5797454656319156e+25,1.5797454656319156e+25,6.372393925511613e+24,15324.792871463871,10558.782288438606
12,12,12,12,12,1,12,-23.058629169260467,36.073358613068685,1.6951167711250157,1181902.100941036,1.9367891406084813e+25,1.9367891406084813e+25,7.812640468427243e+24,18788.401714862845,12945.2087815405
