Day,Hour,Elevation Angle,Intensity,Absorbed Photons,Exciton Generation Rate,Final_Exciton_Rate_After_CMC,Excitonic Energy,Usable Electric Energy
1,0,-79.58903694986137,0.0,0.0,0.0,0.0,0.0,0.0
1,1,-80.72740339653998,0.0,0.0,0.0,0.0,0.0,0.0
1,2,-69.48251418615058,0.0,0.0,0.0,0.0,0.0,0.0
1,3,-56.7055198981235,0.0,0.0,0.0,0.0,0.0,0.0
1,4,-43.76265234883044,0.0,0.0,0.0,0.0,0.0,0.0
1,5,-30.91852706363065,0.0,0.0,0.0,0.0,0.0,0.0
1,6,-18.32511019203207,0.0,0.0,0.0,0.0,0.0,0.0
1,7,-6.143595318561282,0.0,0.0,0.0,0.0,0.0,0.0
1,8,5.406570033865023,33192.146140655306,5.439214309503804e+23,5.439214309503804e+23,2.194076006514959e+23,527.6472348873324,363.548944837372
1,9,15.998729445300967,261465.52881083995,4.284649265290991e+24,4.284649265290991e+24,1.728346340919321e+24,4156.45203268167,2863.7954505176704
1,10,25.138424585574256,616638.3273636152,1.0104884449988892e+25,1.0104884449988892e+25,4.076118950045432e+24,9802.54506533507,6753.953550015864
1,11,32.11588891930327,964020.5253297979,1.5797454656319152e+25,1.5797454656319152e+25,6.372393925511611e+24,15324.792871463866,10558.782288438602
1,12,36.073358613068685,1181902.100941036,1.9367891406084813e+25,1.9367891406084813e+25,7.812640468427243e+24,18788.401714862845,12945.2087815405
1,13,36.332660978057355,1196571.8217471985,1.960828488647978e+25,1.960828488647978e+25,7.909610644163036e+24,19021.602592779567,13105.88418642512
1,14,32.84305164671445,1003117.3497170928,1.6438136357834864e+25,1.6438136357834864e+25,6.630832786185412e+24,15946.305297729186,10987.004350135408
1,15,26.221063298398207,666809.8769078373,1.092704825058948e+25,1.092704825058948e+25,4.4077642513109124e+24,10600.109623976143,7303.475530919562
1,16,17.325813720164902,304703.9044758491,4.993198783722871e+24,4.993198783722871e+24,2.0141617931810168e+24,4843.801662439941,3337.3793454211186
1,17,6.895385275198748,52158.39153387604,8.547222839690701e+23,8.547222839690701e+23,3.44778776635716e+23,829.1488881856675,571.2835839599248
1,18,-4.548474982962588,0.0,0.0,0.0,0.0,0.0,0.0
1,19,-16.660163871797792,0.0,0.0,0.0,0.0,0.0,0.0
1,20,-29.20873180500311,0.0,0.0,0.0,0.0,0.0,0.0
1,21,-42.02732580001626,0.0,0.0,0.0,0.0,0.0,0.0
1,22,-54.965592683197855,0.0,0.0,0.0,0.0,0.0,0.0
1,23,-67.78728266622363,0.0,0.0,0.0,0.0,0.0,0.0
2,0,-79.4616111203103,0.0,0.0,0.0,0.0,0.0,0.0
2,1,-80.72817130169872,0.0,0.0,0.0,0.0,0.0,0.0
2,2,-69.54231011194835,0.0,0.0,0.0,0.0,0.0,0.0
2,3,-56.77445984476475,0.0,0.0,0.0,0.0,0.0,0.0
2,4,-43.831363130902616,0.0,0.0,0.0,0.0,0.0,0.0
2,5,-30.983202514615527,0.0,0.0,0.0,0.0,0.0,0.0
2,6,-18.38306741166285,0.0,0.0,0.0,0.0,0.0,0.0
2,7,-6.192120526874987,0.0,0.0,0.0,0.0,0.0,0.0
2,8,5.370784652968197,32790.245738208156,5.3733546808216916e+23,5.3733546808216916e+23,2.1675094800155483e+23,521.2583248375659,359.14698581308284
2,9,15.979990095744583,260876.91139233203,4.2750035609367e+24,4.2750035609367e+24,1.7244554465207113e+24,4147.094928987137,2857.348406072137
2,10,25.142173945219653,616809.4403143463,1.0107688486842112e+25,1.0107688486842112e+25,4.077250045389531e+24,9805.265205061021,6755.827726287043
2,11,32.147935166458744,965733.6724233272,1.582552808714198e+25,1.582552808714198e+25,6.38371821565427e+24,15352.026341786193,10577.546149490687
2,12,36.1372183485791,1185510.9657843902,1.9427030062602705e+25,1.9427030062602705e+25,7.836495882084455e+24,18845.770935509467,12984.736174566022
2,13,36.425933841462395,1201858.850317431,1.969492369956556e+25,1.969492369956556e+25,7.944559099989148e+24,19105.64916192974,13163.79227256959
2,14,32.95742945414048,1009308.7699358735,1.6539595484061397e+25,1.6539595484061397e+25,6.671759475561606e+24,16044.728754429498,11054.818111801924
2,15,26.347074238495303,672747.1171047533,1.1024342115533242e+25,1.1024342115533242e+25,4.4470107531965293e+24,10694.492444523179,7368.50529427647
2,16,17.456578841015244,309128.4141630807,5.06570345486208e+24,5.06570345486208e+24,2.043408803917262e+24,4914.136984907699,3385.8403826014046
2,17,7.027002444247941,54046.164470203075,8.856573175907357e+23,8.856573175907357e+23,3.572573831343487e+23,859.1583417993965,591.9600974997841
2,18,-4.417906473631817,0.0,0.0,0.0,0.0,0.0,0.0
2,19,-16.53140353928984,0.0,0.0,0.0,0.0,0.0,0.0
2,20,-29.081863208009835,0.0,0.0,0.0,0.0,0.0,0.0
2,21,-41.90188725370163,0.0,0.0,0.0,0.0,0.0,0.0
2,22,-54.84035342202034,0.0,0.0,0.0,0.0,0.0,0.0
2,23,-67.65937299181385,0.0,0.0,0.0,0.0,0.0,0.0
3,0,-79.32936446160113,0.0,0.0,0.0,0.0,0.0,0.0
3,1,-80.72056920466974,0.0,0.0,0.0,0.0,0.0,0.0
3,2,-69.5974557565996,0.0,0.0,0.0,0.0,0.0,0.0
3,3,-56.83961526705164,0.0,0.0,0.0,0.0,0.0,0.0
3,4,-43.89641013394049,0.0,0.0,0.0,0.0,0.0,0.0
3,5,-31.044053562306573,0.0,0.0,0.0,0.0,0.0,0.0
3,6,-18.436882412752013,0.0,0.0,0.0,0.0,0.0,0.0
3,7,-6.236067954831256,0.0,0.0,0.0,0.0,0.0,0.0
3,8,5.340117071272616,32447.83570640042,5.3172437702215175e+23,5.3172437702215175e+23,2.1448754017008846e+23,515.8151183116782,355.3966165167463
3,9,15.967000393887773,260469.25695472237,4.2683233063940053e+24,4.2683233063940053e+24,1.7217607583956397e+24,4140.614548481375,2852.8834239036673
3,10,25.152356710893883,617274.2544805743,1.0115305420840574e+25,1.0115305420840574e+25,4.0803225722616626e+24,9812.654239458112,6760.918770986638
3,11,32.18704033261018,967825.4308129423,1.5859805841031737e+25,1.5859805841031737e+25,6.397545212181201e+24,15385.278501066769,10600.456887235003
3,12,36.208492066158826,1189541.8535914605,1.9493084431450417e+25,1.9493084431450417e+25,7.863140963077315e+24,18909.848949523042,13028.885926221375
3,13,36.526476808235955,1207563.9325486082,1.9788413179809526e+25,1.9788413179809526e+25,7.982270985160951e+24,19196.341425434763,13226.27924212455
3,14,33.07841538760181,1015869.9479560212,1.6647113850674872e+25,1.6647113850674872e+25,6.715130347717556e+24,16149.030158299678,11126.681779068478
3,15,26.478748554346325,678972.5205136923,1.1126358126070325e+25,1.1126358126070325e+25,4.488162079153423e+24,10793.456123487025,7436.69126908256
3,16,17.592037237923265,313742.3597514025,5.141312421998233e+24,5.141312421998233e+24,2.0739080288477732e+24,4987.483722454647,3436.376284771252
3,17,7.162451983533728,56024.67933101963,9.180793438644089e+23,9.180793438644089e+23,3.703358142977189e+23,890.6102970622305,613.6304946758768
3,18,-4.284219630720997,0.0,0.0,0.0,0.0,0.0,0.0
3,19,-16.400092780898447,0.0,0.0,0.0,0.0,0.0,0.0
3,20,-28.952869174441673,0.0,0.0,0.0,0.0,0.0,0.0
3,21,-41.77458784582899,0.0,0.0,0.0,0.0,0.0,0.0
3,22,-54.7132810661046,0.0,0.0,0.0,0.0,0.0,0.0
3,23,-67.52914361197872,0.0,0.0,0.0,0.0,0.0,0.0
4,0,-79.1924014928592,0.0,0.0,0.0,0.0,0.0,0.0
4,1,-80.70442209747864,0.0,0.0,0.0,0.0,0.0,0.0
4,2,-69.64777961683691,0.0,0.0,0.0,0.0,0.0,0.0
4,3,-56.90085918696505,0.0,0.0,0.0,0.0,0.0,0.0
4,4,-43.95769077482723,0.0,0.0,0.0,0.0,0.0,0.0
4,5,-31.100995117434366,0.0,0.0,0.0,0.0,0.0,0.0
4,6,-18.486485328837063,0.0,0.0,0.0,0.0,0.0,0.0
4,7,-6.2753826891341475,0.0,0.0,0.0,0.0,0.0,0.0
4,8,5.314606490645744,32164.420123947897,5.2708003108236354e+23,5.2708003108236354e+23,2.1261409900513203e+23,511.3097317732077,352.2924051917401
4,9,15.959782696146803,260242.87289037145,4.264613538917557e+24,4.264613538917557e+24,1.7202643084772017e+24,4137.01577770376,2850.4038708378907
4,10,25.168977739302775,618033.2519754262,1.0127743152397255e+25,1.0127743152397255e+25,4.085339717538749e+24,9824.719832557996,6769.231964632459
4,11,32.233192554930056,970295.9051724559,1.5900289633283627e+25,1.5900289633283627e+25,6.413875607009992e+24,15424.551013278944,10627.515648149192
4,12,36.287152924071776,1193994.2165500151,1.956604553560034e+25,1.956604553560034e+25,7.892572090242956e+24,18980.627048469738,13077.652036395648
